Date,Closing Price,Gold Price,Oil Price,M3,Exchange Rate,Interest Rate
Feb-02,3562.31,14465.5,972.86,14.19164,30.415,6.5
Mar-02,3469.35,14702.3,1152.2,14.01346,30.574,6.5
Apr-02,3338.16,15080.2,1244.02,14.08145,31.209,6.5
May-02,3125.73,16006.7,1257.83,17.20787,31.97,6.5
Jun-02,3244.7,15561.9,1199.06,16.27839,32.17,6.5
Jul-02,2987.65,14818.2,1255.67,16.33327,30.707,6.5
Aug-02,3181.23,15161.4,1301.25,16.54781,31.096,6.5
Sep-02,2991.36,15650.9,1369.92,16.59123,30.468,6.5
Oct-02,2949.32,15318.9,1331.61,16.80651,31.019,6.5
Nov-02,3228.82,15413.3,1184.18,16.40875,30.871,6.25
Dec-02,3377.28,16648.2,1342.56,15.99744,30.489,6.25
Jan-03,3250.38,17567.8,1473.85,16.20198,31.421,6.25
Feb-03,3283.66,16561.2,1569.55,15.72802,32.11,6.25
Mar-03,3048.72,15892,1446.38,14.44973,32.328,6.25
Apr-03,2959.79,15943.4,1210.97,14.64463,33.015,6.25
May-03,3180.75,16993,1226.99,11.21549,34.402,6
Jun-03,3607.13,16078.6,1304.45,12.11716,34.458,6
Jul-03,3792.61,16368.9,1321.85,12.00551,32.858,6
Aug-03,4244.73,17217.5,1363.37,11.49603,33.077,6
Sep-03,4453.24,17754.9,1232.46,11.60922,33.745,6
Oct-03,4906.87,17504.8,1316.78,12.45941,34.344,6
Nov-03,5044.82,18232.5,1325.54,12.15409,35.212,6
Dec-03,5838.96,18991.4,1366.36,12.8482,35.179,6
Jan-04,5695.67,18106.7,1425.74,13.55801,34.178,6
Feb-04,5667.51,17906.3,1418.36,14.67432,33.842,6
Mar-04,5590.6,18397.1,1515.65,16.4702,33.095,6
Apr-04,5655.09,17276.6,1480.99,16.12893,32.459,6
May-04,4759.62,17849.6,1699.29,15.2941,33.381,6
Jun-04,4795.46,18196.9,1617.64,14.65247,34.489,6
Jul-04,5170.32,18151.2,1744.59,14.21718,34.823,6
Aug-04,5192.08,18874,1950.09,14.50954,35.288,6
Sep-04,5583.61,19119.9,1917.68,13.93611,36.378,6
Oct-04,5672.27,19305.1,2146.34,13.36254,37.219,6
Nov-04,6234.29,20171.8,1900.58,13.13847,37.535,6
Dec-04,6602.69,18935.5,1717,13.24217,35.953,6
Jan-05,6555.94,18429,1880.23,14.77147,35.182,6
Feb-05,6713.86,18985.6,1957.6,12.91897,35.376,6
Mar-05,6492.82,18666.8,2225.57,11.68998,36.114,6
Apr-05,6154.44,18966,2215.05,13.23922,34.492,6
May-05,6715.11,18130.1,2080.2,13.37872,34.842,6
Jun-05,7193.85,19005.1,2348.85,13.92416,35.483,6
Jul-05,7635.42,18635.8,2454.2,14.39118,35.538,6
Aug-05,7805.43,19102,2700.01,14.54031,37.036,6
Sep-05,8634.48,20806.4,2709.21,18.03182,37.786,6
Oct-05,7892.32,21233.2,2608.22,16.9711,38.153,6
Nov-05,8788.81,22750.3,2516.77,17.47685,39.365,6
Dec-05,9397.93,23090.1,2576.49,17.46153,38.705,6
Jan-06,9919.89,25096.1,2773.13,14.28075,38.544,6
Feb-06,10370.24,24669.7,2646.56,15.80709,38.959,6
Mar-06,11279.96,25936.8,2709.89,20.87559,38.083,6
Apr-06,12042.56,28925.3,3055.21,18.56215,40.195,6
May-06,10398.61,30233.9,3118.7,18.91904,42.042,6
Jun-06,10609.25,28245.5,3145.13,18.4135,41.069,6
Jul-06,10743.88,29449.2,3365.75,19.85492,41.087,6
Aug-06,11699.05,29014.6,3341.97,21.01571,42.117,6
Sep-06,12454.42,27520.5,2865.03,19.02591,40.95,6
Oct-06,12961.9,27186.9,2633.08,18.89175,40.032,6
Nov-06,13696.31,28928.2,2607.99,19.82843,39.077,6
Dec-06,13786.91,27972.3,2722.26,19.62855,37.852,6
Jan-07,14090.92,28727.4,2373.05,21.48747,37.469,6
Feb-07,12938.09,29407.4,2541.99,22.12625,37.705,6
Mar-07,13072.1,28763,2667.95,21.54054,37.39,6
Apr-07,13872.37,27885.6,2742.35,19.76785,37.002,6
May-07,14544.46,26762.7,2658.01,19.8796,37.732,6
Jun-07,14650.51,26493.2,2779.56,22.03116,38.041,6
Jul-07,15550.99,26874.5,2974.64,22.13037,37.657,6
Aug-07,15318.6,27468,2862.54,20.88438,38.492,6
Sep-07,17291.1,29606.7,3096.5,21.90859,40,6
Oct-07,19837.99,31045.9,3238.9,23.09797,41.551,6
Nov-07,19363.19,31046.2,3602.45,23.41175,39.52,6
Dec-07,20286.99,32862.3,3530.67,23.33235,39.537,6
Jan-08,17648.71,36353,3570.71,23.92447,39.151,6
Feb-08,17578.72,38874.6,3710.34,23.62239,40.548,6
Mar-08,15644.44,37452,4109.92,21.32847,38.995,6
Apr-08,17287.31,35288.6,4353.72,22.21005,40.161,6
May-08,16415.57,37604.5,5165.85,23.25542,42.44,6
Jun-08,13461.6,40024,5631.69,21.57338,42.043,6
Jul-08,14355.75,39083.8,5689.98,19.85303,41.508,6
Aug-08,14564.53,36597.9,4919.52,21.32358,41.239,6
Sep-08,12860.43,41540.5,4540.91,19.6505,44.02,6
Oct-08,9788.06,36135.6,3535.8,20.50131,40.68,6
Nov-08,9092.72,40794.2,2644.71,19.23812,40.117,6
Dec-08,9647.31,42374.2,2010.86,19.88126,39.957,6
Jan-09,9424.24,44945.2,2142.12,20.17734,39.811,6
Feb-09,8891.61,48685.3,2059.46,20.15585,40.07,6
Mar-09,9708.5,46498.6,2391.75,19.38373,40.082,6
Apr-09,11403.25,44193.4,2517.58,21.49112,41.665,6
May-09,14625.25,45960.7,2822.25,20.8628,43.2,6
Jun-09,14493.84,44767.2,3303.55,20.75492,41.066,6
Jul-09,15670.31,45025,3137,21.52241,44.367,6
Aug-09,15666.64,46652.3,3461.09,19.85205,44.478,6
Sep-09,17126.84,47900.5,3310.8,19.79925,44.669,6
Oct-09,15896.28,48843.6,3461.1,18.85972,43.263,6
Nov-09,16926.22,54690,3611.43,19.17404,44.084,6
Dec-09,17464.81,50606.8,3491.65,17.87017,44.124,6
Jan-10,16357.96,49794.3,3541.88,17.30861,43.114,6
Feb-10,16429.55,51095.9,3463.32,17.06568,43.803,6
Mar-10,17527.77,50080.4,3607.99,17.00553,44.147,6
Apr-10,17558.71,52311.5,3745.92,15.25031,43.511,6
May-10,16944.63,55985.7,3461.17,15.16115,44.375,6
Jun-10,17700.9,57777.6,3479.77,15.12881,43.629,6
Jul-10,17868.29,54247.4,3495.72,15.60524,45.064,6
Aug-10,17971.12,58611.8,3531.14,15.57275,44.232,6
Sep-10,20069.12,58730,3504.32,15.43249,43.31,6
Oct-10,20032.34,59829.4,3629.8,17.29682,43.505,6
Nov-10,19521.25,63481.9,3793.46,16.34918,44.611,6
Dec-10,20509.09,62846.9,4065.66,18.43745,44.825,6
Jan-11,18327.76,60922.6,4206.66,16.49789,45.786,6
Feb-11,17823.4,63868.9,4450.5,16.75764,46.583,6
Mar-11,19445.22,64172.2,4888.11,16.3021,45.901,6
Apr-11,19135.96,67892.1,5159.4,17.71656,46.853,6
May-11,18503.28,69211.6,4851.8,17.02236,46.514,6
Jun-11,18845.87,67299.6,4747.57,17.20606,46.398,6
Jul-11,18197.2,71963.4,4793.3,16.61849,46.281,6
Aug-11,16676.75,83511.7,4550.04,17.01144,46.833,6
Sep-11,16453.76,79339.5,4811.93,16.78484,46.683,6
Oct-11,17705.01,83852.8,4916.61,14.86625,48.714,6
Nov-11,16123.46,91149.9,5343.29,15.34999,51.143,6
Dec-11,15454.92,81303.7,5486.72,15.69083,52.004,6
Jan-12,17193.55,86232.1,5484.92,14.71975,49.379,6
Feb-12,17752.68,86747.7,5540.26,14.04182,49.639,9.5
Mar-12,17404.2,84696,5927.55,13.36874,50.982,9.5
Apr-12,17318.81,87020.9,5888.49,13.18507,53.348,9
May-12,16218.53,87493.4,5655.94,13.4838,53.98,9
Jun-12,17429.98,89252.2,5083.6,15.50101,54.601,9
Jul-12,17236.18,90207.5,5372.19,13.71303,55.457,9
